,#uniqueValues,std,mean,skew,min,max,f50,f95,energy,E10,E1020,E2030,EcHPI,E260300,E300340,dist_nas,dist_lpa,dist_rpa,dist_mrk4,dist_mrk5
ch0,38400,250.86620159329846,0.32801048298604313,0.07539068679240409,-1381.8550993549427,1236.0232428524216,3.7333333333333334,50.01,6.293e+04,1.331e+01,1.953e+00,1.390e+00,,,,44.12789429311203,158.66586972479263,180.2268523708043,42.22897751728249,62.22677298003175
ch1,38400,219.1850241564107,0.4303952326775383,0.09730758877016124,-925.891766075805,982.9501274494507,4.033333333333333,50.01,4.804e+04,9.916e+00,1.482e+00,1.013e+00,,,,55.67931795713756,143.68085170499694,191.01397656575196,39.872512501473494,80.66418974700277
ch2,38400,230.5358686931991,0.42472538550096706,0.04772762821381431,-1042.4601831020384,989.7310300006625,3.52,50.013333333333335,5.315e+04,1.092e+01,1.487e+00,9.689e-01,,,,70.79480613609606,128.5209473613106,198.86198907234973,48.497962020075974,98.28721035489909
ch3,38400,371.2157587974998,0.11296486555048527,0.087074095477901,-1554.8029445138488,1727.9718631000712,1.0033333333333334,50.013333333333335,1.378e+05,3.079e+01,2.042e+00,1.402e+00,,,,57.15798995721584,176.52420136634896,175.86740180577198,65.17674293631715,62.212881112817485
ch4,38400,296.4167410977809,0.5228559791100305,0.08175321453750993,-1230.621185655737,1235.697799686754,3.62,50.016666666666666,8.786e+04,1.661e+01,1.388e+00,8.825e-01,,,,66.4923853158743,151.47251681402406,195.0557059706774,54.753461511053814,87.70014745520025
ch5,38400,531.3018976239559,0.2949286520530794,0.07379711164260401,-1970.5239281896702,2060.226313008369,13.0,50.02,2.823e+05,4.635e+01,1.754e+00,1.197e+00,,,,76.09185160746588,168.73513180154177,192.44605641321127,73.1925237780701,88.95547454381855
ch6,38400,447.4463644817803,-0.052918165371712574,0.08247453819657076,-1650.812722551375,1755.8684433655674,49.99,50.02333333333333,2.002e+05,2.650e+01,1.675e+00,1.108e+00,,,,96.83519842352398,143.0851608990591,206.43449782041066,82.26502409068843,117.66557186487292
ch7,38400,413.24836493758175,-0.519449196297641,0.0690104767940504,-1688.878096392386,1632.7774324879526,42.29666666666667,50.02333333333333,1.708e+05,2.436e+01,1.913e+00,1.143e+00,,,,109.68122394194437,132.34043992446766,210.04674802015145,93.17010285337697,131.38011531762098
ch8,38400,398.18207831461825,-0.7345278727763703,0.047558366779581814,-1491.3396984615647,1784.1972375476605,5.543333333333333,50.02,1.585e+05,2.807e+01,2.245e+00,1.217e+00,,,,125.82869859398733,124.87344848382553,214.12196438599588,108.9041579977538,147.24423961246873
ch9,38400,636.030344234741,-0.404858523866043,0.049957932307537,-2295.3630678622294,2456.4824783503464,30.906666666666666,50.02333333333333,4.045e+05,6.391e+01,1.977e+00,1.367e+00,,,,104.05275602203513,178.98203687840763,190.90614642202937,104.58971890302676,110.4275899718822
ch10,38400,650.4105948337628,0.02451425782249108,0.06302641868618983,-2298.3121936185357,2476.6909231371874,49.026666666666664,50.02333333333333,4.230e+05,6.450e+01,2.042e+00,1.481e+00,,,,91.70310624929398,171.4819464670992,194.2877873610947,89.20234512898453,102.35684372247165
ch11,38400,479.7887017418433,-0.13873144091735298,0.06568144238919912,-1642.9679354239001,1766.3024197651187,49.99,50.02333333333333,2.302e+05,3.176e+01,1.445e+00,1.033e+00,,,,103.52819675682176,159.82964521836334,205.26217038581422,94.61812948038963,119.21728590950804
ch12,38400,333.7819003029945,-1.0846065746507694,0.04154074685732445,-1385.7727235556104,1278.6597647003566,19.513333333333332,50.02,1.114e+05,1.657e+01,2.114e+00,1.216e+00,,,,129.19356706910943,135.6173540794335,208.63118312311866,116.10788872736437,147.092662513837
ch13,38400,513.7518409486613,-0.28277894673040405,0.039639369090457226,-1877.64692983676,1891.7472186514406,49.93666666666667,50.02333333333333,2.639e+05,3.903e+01,1.622e+00,1.142e+00,,,,111.46428407607611,169.1921456611443,199.35411955842514,107.09242508164618,122.27975951072234
ch14,38400,377.3055295847047,-0.5800670572009698,0.029205261332932008,-1409.229931363883,1408.8772805330718,44.373333333333335,50.02,1.424e+05,2.027e+01,1.430e+00,9.491e-01,,,,121.6819682738872,158.07164293974267,205.00941538257118,113.53134625855795,135.47689041461572
ch15,38400,449.9279660611887,-0.45170520114299034,0.03029291136598453,-1729.3650333370888,1936.3285286643602,11.39,50.02,2.024e+05,3.343e+01,1.648e+00,9.614e-01,,,,121.54137834429571,180.0245917253177,191.86208245849443,121.72073210748805,126.94649275819737
ch16,38400,432.23767188616074,-0.8336232114970012,0.02256112881953756,-1824.8801990131892,2052.36440340953,1.75,50.02,1.868e+05,3.770e+01,3.703e+00,1.590e+00,,,,156.87386978074886,121.19435095395187,214.15526871719769,142.68576924740535,174.84901854540664
ch17,38400,406.6577933103806,-1.1946067864181713,0.006213452079895334,-1797.3548199480965,1957.4005955480661,1.3933333333333333,50.016666666666666,1.654e+05,3.406e+01,4.553e+00,1.802e+00,,,,170.44537181682813,124.93328434260766,211.82525919958118,158.2243385955582,186.16965255198798
ch18,38400,335.26812888279943,-1.1219887866757385,0.00153029137069709,-1595.7204307830036,1618.9593106677403,2.8833333333333333,50.013333333333335,1.124e+05,2.226e+01,5.007e+00,1.828e+00,,,,183.80140459496306,134.0284361672798,210.27783955998288,173.708314615419,197.09364275415498
ch19,38400,246.2073160021243,0.27945603636351174,0.008300141527724354,-1149.0267250627853,1263.973622615878,7.366666666666666,47.17,6.062e+04,1.138e+01,4.909e+00,1.459e+00,,,,203.7563792523604,159.8009792003299,200.34850561985442,199.0547180449904,210.98804608054303
ch20,38400,368.7765092583319,-1.2743535118712521,0.037427512038785034,-1406.8563494476075,1607.2038690433544,7.98,50.02,1.360e+05,2.369e+01,3.402e+00,1.593e+00,,,,146.4257518182073,131.76132316313223,209.08085363934433,134.04593994997418,163.0138114157105
ch21,38400,187.66074290368508,-0.41053043315289794,-0.06505651352518273,-1088.416737833661,900.4881328521143,10.363333333333333,49.99666666666667,3.522e+04,5.585e+00,3.241e+00,1.046e+00,,,,194.78441596686292,162.51847789143878,206.345527333648,189.3438574368858,203.052382247279
ch22,38400,222.51851778891563,0.19982003912203908,-0.018270367759396482,-1117.022425714521,1095.7815249222715,10.21,50.016666666666666,4.951e+04,8.151e+00,2.686e+00,8.643e-01,,,,202.29496734630902,175.50184330956677,198.43154723856765,199.93974905398238,207.06544525720082
ch23,38400,347.1376318427648,0.5827898503665939,0.013068047104912417,-1804.6321704000272,1757.536357487081,11.363333333333333,50.02,1.205e+05,1.898e+01,3.401e+00,1.296e+00,,,,201.7845012287596,183.29801205488172,184.99311766592504,202.47638337234793,203.1756416313718
ch24,38400,261.39712018071145,-1.200656563914838,0.04360720928888104,-1093.0598783040605,1061.1629277064674,12.733333333333333,50.02,6.833e+04,1.043e+01,2.291e+00,1.022e+00,,,,153.44725525887907,148.9642645803694,209.5854479301111,144.11272416181663,166.93545494575403
ch25,38400,218.65258832702847,-1.2364269335580935,-0.004195454904028708,-1061.440838634719,1125.8035537849314,10.33,50.016666666666666,4.781e+04,7.823e+00,2.713e+00,1.058e+00,,,,169.93743297197548,154.57474841516836,209.78430119820993,162.12552647869276,181.36912391663395
ch26,38400,228.6396333466131,-0.8643018493180867,-0.0512244778933668,-1087.1133151119404,983.6552784051311,8.69,50.01,5.228e+04,9.272e+00,3.142e+00,1.131e+00,,,,180.83694798862103,164.55357120836916,203.1497929027791,175.9919457339332,188.85527178367238
ch27,38400,298.9805466269004,-0.7300891667678254,0.00867287468952678,-1170.7360529588132,1130.7932880511269,12.006666666666666,50.02,8.939e+04,1.427e+01,1.900e+00,9.433e-01,,,,143.67952642439982,162.20966808894934,201.40483994167585,138.0587786794905,153.85551290690734
ch28,38400,235.16367502982663,-0.4692310408912429,0.04102108532368945,-1017.2172205203216,1217.2825247888604,6.506666666666667,50.016666666666666,5.530e+04,1.037e+01,2.118e+00,7.239e-01,,,,177.2166061462139,178.6967311088627,199.48727773614297,175.16120637294458,182.41322086628784
ch29,38400,233.19846031629922,-0.12359068272104272,0.237085762524385,-1036.8985366436912,1356.8283444830884,7.916666666666667,50.016666666666666,5.438e+04,1.005e+01,2.378e+00,7.353e-01,,,,181.52531845759816,189.24967755834578,189.95953265301773,182.7168474054786,182.99933538358596
