,#uniqueValues,std,mean,skew,min,max,f50,f95,energy,E10,E1020,E2030,EcHPI,E260300,E300340,dist_nas,dist_lpa,dist_rpa,dist_mrk4,dist_mrk5
ch0,38400,657.1645312813862,0.9060332680599208,0.20778863865966,-3140.7440635135113,3409.2307573712296,0.2,49.973333333333336,4.319e+05,1.213e+02,5.161e+00,3.185e+00,,,,43.72876424116663,154.65933084855436,183.87480377823692,34.86136647436723,68.5534718984206
ch1,38400,696.7579808288557,1.1302414457067085,0.131979415640171,-3476.273437256237,3532.235500854224,0.20333333333333334,49.98,4.855e+05,1.377e+02,5.055e+00,2.945e+00,,,,58.30724520080925,141.32158191053395,193.66485739149795,35.04703552696808,86.02594524038514
ch2,38400,685.1979674336719,0.8566559039566118,0.02995461108059921,-3473.928824744774,3420.650534862955,0.21333333333333335,49.99333333333333,4.695e+05,1.270e+02,6.069e+00,3.117e+00,,,,74.20010052731534,127.67588067344816,200.66977978028677,44.893013329584484,102.24702738383716
ch3,38400,418.1186175779493,0.3151967680057275,0.18017379675993508,-1719.9892691296134,2238.712519795383,0.29,50.00333333333333,1.748e+05,4.092e+01,4.246e+00,2.554e+00,,,,43.451346132808425,174.82233574456254,179.67551436937327,49.22313112417855,56.31361923910848
ch4,38400,571.2437937970878,0.9246642548402793,0.19351951234708734,-2761.3074805618876,2963.531396300765,0.20333333333333334,49.98,3.263e+05,9.121e+01,3.885e+00,2.448e+00,,,,63.03315821766446,149.84869808501935,198.3465635740612,40.22827994194812,87.73937515820276
ch5,38400,384.54648877252043,0.7668211141358381,0.24546280046138613,-1685.3549910308252,2098.4715817434944,0.22333333333333333,49.973333333333336,1.479e+05,3.897e+01,3.078e+00,1.996e+00,,,,61.91688693408927,170.01263906850454,194.74715783543263,51.800188647859194,78.26946304609497
ch6,38400,492.11345940587387,1.8988181431008175,0.1243910644109227,-2281.7335111237994,2463.736133663409,0.22333333333333333,49.99333333333333,2.422e+05,6.092e+01,4.479e+00,2.983e+00,,,,87.28749375712708,147.58084028970364,208.50201237926083,62.55526543071663,108.69707214168035
ch7,38400,474.3143946255293,2.496536157951585,0.04490920550254344,-2373.4464060756945,2239.284402461904,0.3,49.99666666666667,2.250e+05,4.931e+01,6.809e+00,3.976e+00,,,,102.79341818797782,138.4993424136536,212.8936079693274,76.55040099198729,123.82058217979039
ch8,38400,464.2242543762048,3.0555024684321497,-0.012579055245656338,-2306.3464519552367,2024.9187756828812,4.793333333333333,49.99666666666667,2.155e+05,4.006e+01,1.138e+01,5.562e+00,,,,117.85764662942927,131.3498041083889,214.3696860581733,92.15500194558014,137.36563907422996
ch9,38400,264.4304020582347,0.33521623899492664,0.5335377353685404,-1018.8986806283965,1551.939690660045,8.39,50.00333333333333,6.992e+04,1.249e+01,3.997e+00,2.064e+00,,,,70.34848780194943,185.77284543541117,188.09603644876435,70.67239220091345,75.35318288844218
ch10,38400,278.8968738920632,0.9589455902276065,0.28937061571934386,-1059.53810948024,1597.3050492616019,0.37666666666666665,49.92333333333333,7.778e+04,1.789e+01,3.450e+00,2.075e+00,,,,76.79470284570351,174.44322052315422,198.54586168848223,66.38324983071024,89.15954851089006
ch11,38400,332.05707197947737,1.8592618659637277,0.12970937407910987,-1328.9740741503522,1651.2478612341142,0.27666666666666667,49.986666666666665,1.103e+05,2.553e+01,3.935e+00,2.685e+00,,,,89.5653155782565,163.04016339100886,206.68592545437315,71.3758263837642,105.6127619091439
ch12,38400,382.91915925267267,3.506204302938316,-0.010277175243034783,-1873.1250392615816,1703.7384419216098,8.296666666666667,49.99333333333333,1.466e+05,2.566e+01,9.213e+00,5.081e+00,,,,121.10430489411009,146.37636110284285,213.76545563367128,99.1342985345194,136.94656476926815
