,#uniqueValues,std,mean,skew,min,max,f50,f95,energy,E10,E1020,E2030,EcHPI,E260300,E300340,dist_nas,dist_lpa,dist_rpa,dist_mrk4,dist_mrk5
ch0,38400,343.90765873599594,0.5883074616986085,0.31546366778773766,-3420.556377673519,2728.5646128579388,0.4633333333333333,24.196666666666665,1.183e+05,3.400e+01,2.628e+00,1.621e+00,,,,61.55408708084509,166.80927184950195,192.98380979507158,65.11420497498015,78.34054778104114
ch1,38400,285.0689276175461,-0.1450071465870614,-0.10795859581774533,-5328.2436708592395,1828.2561306178923,0.54,25.696666666666665,8.126e+04,2.261e+01,2.238e+00,1.344e+00,,,,67.46418185934098,154.74604762230055,202.8086483607431,58.89907328090483,91.14321800121562
ch2,38400,365.51713824147987,-0.8274852715805927,-0.17560953136865365,-6125.534317047866,1673.5916895952023,0.38666666666666666,19.606666666666666,1.336e+05,4.022e+01,2.149e+00,1.308e+00,,,,76.35886021631731,143.07580979205656,209.85252897214656,58.194641953447466,103.55565798449838
ch3,38400,441.7941744869694,2.2134609542020125,0.06383174144861244,-1784.407927665235,3455.8919948108237,0.24666666666666667,13.983333333333333,1.952e+05,6.089e+01,1.914e+00,1.277e+00,,,,67.94663825243903,187.63320330119583,192.60753919469875,79.52225763075597,74.69184052137818
ch4,38400,316.867056448487,1.500855074305939,-0.058290421184535944,-4008.802112138653,1349.8265511271468,0.3233333333333333,19.24,1.004e+05,3.041e+01,1.469e+00,8.932e-01,,,,73.13021468682899,167.0271833687473,209.55209709824328,65.99767717804066,94.2512628032036
ch5,38400,473.0609595838832,3.1660331194164524,-0.0334626496873212,-1923.3071442124806,2299.86016969071,0.17333333333333334,9.513333333333334,2.238e+05,7.099e+01,1.691e+00,1.039e+00,,,,78.99056544991376,186.6202188578991,210.3872690410533,79.59244957450568,92.53739258889222
ch6,38400,454.1972001539716,1.1848141946551218,-0.03325998116458591,-2728.2939375056417,2707.651983758142,0.26666666666666666,9.066666666666666,2.063e+05,6.557e+01,1.679e+00,8.522e-01,,,,92.40902124497119,167.9311907351062,222.78350084765015,77.76160458209506,114.00406941438061
ch7,38400,480.235467717288,0.6877957196205393,-0.1770665433317249,-3011.245547734671,2915.3818021527995,0.26666666666666666,8.486666666666666,2.306e+05,7.343e+01,1.927e+00,8.846e-01,,,,101.52456363010502,160.94583122459144,225.90189039587344,82.82129007308008,124.07108264482896
ch8,38400,489.08194523744936,1.0182350364777517,-0.28784462268622335,-2865.9709941996643,2607.368217879087,0.21666666666666667,8.873333333333333,2.392e+05,7.608e+01,2.095e+00,9.350e-01,,,,114.15145140238452,157.56120386406585,229.7085116891329,93.42992184786232,136.2867990429938
ch9,38400,564.3823645018417,3.395635988659378,-0.061090426336227924,-2464.7354954409725,2514.138809850048,0.17666666666666667,7.6466666666666665,3.185e+05,1.017e+02,2.305e+00,1.246e+00,,,,96.7916086059523,202.9418247808066,213.12686697707576,99.29400191633653,103.25581825958164
ch10,38400,557.9111350261362,3.406116045532892,-0.012470016142738133,-2299.2883357920514,2503.0812553730993,0.16666666666666666,8.43,3.113e+05,9.912e+01,2.259e+00,1.316e+00,,,,88.49116466999303,193.46882483612734,214.34014311413387,88.32152561662053,99.72717057168627
ch11,38400,418.74151144988724,1.5747642735955345,0.04098305795846491,-2027.5382644779963,1981.2172108690752,0.18666666666666668,10.83,1.753e+05,5.535e+01,1.583e+00,8.387e-01,,,,97.59602669507045,185.58665450060263,224.3038385024345,89.26307917980895,113.84662728952654
ch12,38400,350.12643244004107,0.5280061022397545,-0.24009309423121827,-2328.7321960553104,2174.475912196199,0.24666666666666667,15.693333333333333,1.226e+05,3.761e+01,1.812e+00,8.371e-01,,,,115.19955211674403,169.21906078247054,226.54202351678356,98.76590784176479,133.52482997462903
ch13,38400,450.19654556148186,1.825566941693222,-0.0034646493207344587,-1885.9478820573108,2217.4608589959357,0.18333333333333332,11.086666666666666,2.027e+05,6.388e+01,1.910e+00,9.999e-01,,,,102.33629283108765,196.1533109842841,220.68608568669111,98.60280484716466,113.3200063907066
ch14,38400,340.35885445461935,0.5387318091018803,0.028068719094090158,-1559.5925492788142,1711.2627626498931,0.19,14.856666666666667,1.158e+05,3.579e+01,1.498e+00,7.458e-01,,,,109.86890281408587,188.3700556846571,225.4634066656522,100.68830221917763,123.84147729671193
ch15,38400,477.92840320143375,2.2066841116747553,-0.13927865497547354,-2101.7293246899485,1984.0656375138328,0.31666666666666665,8.236666666666666,2.284e+05,7.290e+01,1.828e+00,8.336e-01,,,,109.48118618492342,207.46802270884177,215.50375336044112,110.58140629300068,114.29185831606411
ch16,38400,525.3420787879218,2.8987071747246786,-0.25939513293949434,-2721.1294600520137,3900.2113186961483,0.21,8.803333333333333,2.760e+05,8.780e+01,2.407e+00,1.068e+00,,,,138.70101779928362,159.93515582150533,230.0968566239982,119.26738430400661,156.62910806011288
ch17,38400,504.5502189904123,3.1941855777539683,-0.16207345281372892,-2607.3295999131105,4464.5025500541815,0.26,10.356666666666667,2.546e+05,8.050e+01,2.421e+00,1.146e+00,,,,149.88292703671695,164.6423576171732,228.06293923130372,132.32406254539777,165.04012679028642
ch18,38400,434.08786424579347,2.8417749936548318,0.008643762121679603,-2102.2027199125323,3990.1753703373083,0.37333333333333335,13.096666666666666,1.884e+05,5.887e+01,2.033e+00,1.107e+00,,,,161.46004849160093,173.53470187238938,227.07620055442473,146.23946419888424,173.6249774870245
ch19,38400,317.9616608904896,1.3166193028644309,0.056714578454505234,-2151.2977411378174,2189.017444043501,0.38666666666666666,19.106666666666666,1.011e+05,3.065e+01,1.459e+00,8.853e-01,,,,178.8439656058527,196.3618985509766,219.2097543047581,170.00668504529935,183.75513597215337
ch20,38400,415.2727287962784,2.051355757855584,-0.2664018894141316,-2531.909343446093,2387.7712308506816,0.27666666666666667,13.483333333333333,1.725e+05,5.365e+01,2.164e+00,9.759e-01,,,,128.95086254444197,168.651076138463,226.94671266537532,112.2436648100151,145.52031343955272
ch21,38400,307.2252850401421,1.3202048672053377,0.09494332376230512,-1872.850333966663,1976.9199637832417,0.38666666666666666,13.373333333333333,9.439e+04,2.943e+01,1.024e+00,5.703e-01,,,,171.19606005318317,200.09880495723294,226.60225876157935,161.91728761788679,177.4605096576857
