,#uniqueValues,std,mean,skew,min,max,f50,f95,energy,E10,E1020,E2030,EcHPI,E260300,E300340,dist_nas,dist_lpa,dist_rpa,dist_mrk4,dist_mrk5
ch0,38400,1763.3874307861652,-0.1427758076809232,0.05143894213453715,-8098.560027064217,9384.931387566034,0.19666666666666666,50.02333333333333,3.110e+06,8.333e+02,4.598e+00,3.847e+00,,,,44.34874312886389,150.26226816320593,182.9975673020791,41.73653175622947,72.68286050874924
ch1,38400,1865.479627754639,3.1526488153037673,0.049095034717622665,-8468.550668536102,9464.099656187707,0.19,50.02,3.480e+06,9.567e+02,3.983e+00,3.432e+00,,,,56.145291664596094,135.51205560098322,193.66419900423296,39.089764354538175,89.18677883035792
ch2,38400,1842.7008999766913,5.015376106565576,0.05216453123122305,-8268.290107117136,8954.463307908602,0.19,50.02,3.396e+06,9.467e+02,3.902e+00,3.294e+00,,,,70.13846341479982,120.20525188750398,201.43852705450257,45.12010048242141,104.47879971314387
ch3,38400,1120.7320651701011,-3.2508890484843196,0.08087500351900932,-5163.843503707234,6184.27008247632,0.21333333333333335,50.026666666666664,1.256e+06,3.218e+02,3.807e+00,2.767e+00,,,,44.56266890006813,170.1055199415211,177.32919756695327,56.08412474622638,61.50522236071478
ch4,38400,1535.840682216549,2.9630639236798575,0.05601859501651182,-7075.278454446202,7842.292842981942,0.19,50.02,2.359e+06,6.507e+02,3.538e+00,2.695e+00,,,,59.25598722771643,142.48687336752005,197.79251685046484,43.970026092092326,91.01922241887218
ch5,38400,781.4349445016057,0.07802848800143086,0.05880850960195409,-3710.6752976741063,4191.783736773786,0.19666666666666666,50.02,6.106e+05,1.635e+02,2.595e+00,1.527e+00,,,,58.58231047397785,162.75884043645058,192.89295772977434,56.581924868937314,82.1607883824541
ch6,38400,953.239073566127,3.1419548446366625,0.07785196927938648,-4465.460965665589,4837.057283621738,0.18666666666666668,50.013333333333335,9.087e+05,2.546e+02,3.354e+00,1.936e+00,,,,81.19711599322885,137.51733914078824,208.21354135553966,62.601796636455965,110.83831662902153
ch7,38400,814.634832260854,3.0829162846072906,0.0868476200564817,-3694.083753950609,3909.541088589498,0.19,50.01,6.636e+05,1.852e+02,3.946e+00,2.168e+00,,,,95.95328156965014,127.03616972750324,213.24089008588172,74.57896350491903,125.10747437061414
ch8,38400,682.4120533567412,2.74434649665092,0.09679810010848201,-2954.1870535657176,2980.9446984572605,0.19333333333333333,49.99333333333333,4.657e+05,1.288e+02,4.925e+00,2.600e+00,,,,110.49588925814159,118.75621797093872,215.2431741170594,88.7314652777987,137.80304374340176
ch9,38400,293.88764313214676,-2.2118452425503747,-0.06234199206325686,-1453.5415444997632,981.1884220302294,0.26666666666666666,41.306666666666665,8.637e+04,2.244e+01,2.584e+00,1.295e+00,,,,67.29725938520453,178.70458691760086,185.08062722001648,74.69162249838968,78.8843005281574
ch10,38400,279.23286300196804,-0.3673637345024183,0.21463938979085673,-1114.565671182328,1274.0806290067628,0.5,49.94,7.797e+04,1.896e+01,2.669e+00,1.229e+00,,,,72.06728947529874,165.99737580905852,196.48499810282442,69.2799629998711,92.20889467167305
ch11,38400,355.61669119329326,0.9716239612606415,0.10458854516177431,-1718.084923684498,1687.6674958242686,0.52,50.026666666666664,1.265e+05,2.871e+01,3.211e+00,1.462e+00,,,,83.50335143699408,153.10945649149187,205.50966204230951,72.17890856657002,107.83971394735713
ch12,38400,401.42369188562594,0.8288225150235872,0.057794566628101285,-1656.1567861804199,1680.959976528937,0.59,50.03,1.611e+05,3.409e+01,5.246e+00,2.433e+00,,,,113.63355481046393,134.0857659612026,213.92512779502303,96.29377984974104,137.35223747046695
ch13,38400,623.912531398381,-0.9454881215023556,0.12050916916998261,-2337.2534909550886,2587.2768700980937,0.2733333333333333,50.03,3.893e+05,9.641e+01,3.850e+00,1.792e+00,,,,90.7790594381868,165.14208368267253,202.11884300369735,85.13360112861734,108.96030298874615
ch14,38400,577.0240359219014,-0.6458647414162298,0.14014229952316057,-2199.4009321027042,2385.040318709521,0.49666666666666665,50.03333333333333,3.330e+05,6.980e+01,4.947e+00,2.260e+00,,,,102.3925185191536,155.0223602230684,207.69102131772416,91.84728485723126,122.48690655076159
ch15,38400,984.1815199346048,-2.040648434623422,0.02555429851744519,-4104.672122627629,4294.56256598656,0.21333333333333335,50.02333333333333,9.686e+05,2.611e+02,4.495e+00,2.292e+00,,,,99.07754875905833,178.60123428204915,195.25693553774775,99.56837482337245,109.49808121521853
ch16,38400,648.8090376847696,2.607385203904549,0.12139126876043368,-2441.1294603710526,2423.8333295965317,0.20333333333333334,49.96666666666667,4.210e+05,1.164e+02,7.689e+00,3.696e+00,,,,141.72764666886977,117.87428043154249,216.00858797887201,123.10860077991849,162.78113057016273
ch17,38400,541.2445349661795,1.859533396585389,0.21894201140118125,-1825.8449197058096,1903.921218117097,0.19666666666666666,31.08,2.929e+05,8.364e+01,6.188e+00,2.766e+00,,,,157.71380131106463,126.64658019701842,217.35166902787142,141.27869855685375,175.43037864771352
