,#uniqueValues,std,mean,skew,min,max,f50,f95,energy,E10,E1020,E2030,EcHPI,E260300,E300340,dist_nas,dist_lpa,dist_rpa,dist_mrk4,dist_mrk5
ch0,38400,986.8308124945075,0.9355964870901854,5.309309506369286,-7364.162120420192,16036.322824135497,0.32666666666666666,2.0733333333333333,9.738e+05,3.187e+02,3.105e+00,1.683e+00,,,,41.50297136852848,147.70435690670217,179.2434901634346,33.311772207430366,69.6796492376232
ch1,38400,919.8755692479351,0.4596074739663021,3.2849180077991575,-5520.0095112806575,12843.749466483961,0.25333333333333335,2.743333333333333,8.462e+05,2.767e+02,2.807e+00,1.502e+00,,,,58.58065143651161,132.66810684299415,190.90014677019192,34.62120043040247,89.19528034288463
ch2,38400,925.5688594639529,-0.06344617695397754,2.1744032186367055,-6108.585200932553,12061.543037886011,0.24333333333333335,3.5433333333333334,8.567e+05,2.792e+02,3.438e+00,1.752e+00,,,,76.40016380744011,117.85822860626094,199.58242380152367,46.87522278911112,106.97754537002615
ch3,38400,1124.4118144767767,0.73444288548584,4.5356093574102925,-7555.889842387259,16412.430935202312,0.3333333333333333,1.6566666666666667,1.264e+06,4.159e+02,2.855e+00,1.686e+00,,,,41.03574439302971,166.67438442973528,174.68042269669152,49.64784465068206,59.56855793363918
ch4,38400,1001.6735986389773,-0.14324259785869156,1.718096484515358,-6070.833707471702,13024.127371496481,0.24333333333333335,1.8466666666666667,1.003e+06,3.300e+02,2.330e+00,1.267e+00,,,,62.512071114748515,141.44497450565808,195.24833646644743,42.53038389344837,91.28286647863716
ch5,38400,1042.8125194084107,-0.40444215604462747,0.9119968589856317,-8681.19697464225,14335.155987632066,0.26,1.6366666666666667,1.087e+06,3.590e+02,1.824e+00,1.023e+00,,,,63.291016901190304,159.761295154469,192.53563324066013,55.83014527872309,85.6550248721036
ch6,38400,946.4351850121229,-1.188007606161749,0.07322037308351975,-8944.158818436437,14327.541616828914,0.25333333333333335,2.0,8.957e+05,2.940e+02,2.619e+00,1.277e+00,,,,92.04045917425042,135.45240491265872,208.0783092763205,70.12379930433985,117.62444863205154
ch7,38400,893.2740849253229,-1.0428213295457158,0.8057923452974709,-7880.927314110303,14738.32076802145,0.27666666666666667,2.9133333333333336,7.979e+05,2.600e+02,3.744e+00,1.489e+00,,,,106.8678954535912,126.02678286946272,212.4147864600429,83.2372641711492,131.62651644979306
ch8,38400,825.8827937689066,-0.4741868344878734,1.4325260962146609,-7140.747006292738,12443.302311737758,0.30333333333333334,7.32,6.821e+05,2.201e+02,4.756e+00,1.714e+00,,,,124.07583620430687,120.52595615207503,217.23951720008031,100.4705200482274,147.17349739711068
ch9,38400,934.0261425082161,-1.0751417478164038,-0.45877763525421605,-9715.241019512212,14729.579594487761,0.28,1.8633333333333333,8.724e+05,2.873e+02,1.895e+00,1.061e+00,,,,87.24624203290115,172.47845813981448,191.92955489402607,85.62695116748614,99.73102578927929
ch10,38400,1027.0931064707522,-1.0239300415544719,-0.3118536093999109,-10376.168170979803,15569.689250924592,0.26666666666666666,1.7233333333333334,1.055e+06,3.482e+02,1.829e+00,1.041e+00,,,,77.17599157518355,163.82871341338233,195.00615604579238,70.90494253050862,95.44741741587654
ch11,38400,867.5783301870655,-1.160317624404377,-0.55282756468365,-9156.192242248024,13009.661543659477,0.2633333333333333,1.8766666666666667,7.527e+05,2.477e+02,1.832e+00,9.356e-01,,,,93.44104514392232,152.9249178332423,206.80397603357397,78.8159952106144,114.80477232982216
ch12,38400,781.2775649932901,-0.6330974015109404,0.47131928860159117,-6975.894012059728,10844.364118835447,0.32666666666666666,8.493333333333334,6.104e+05,1.959e+02,4.807e+00,1.956e+00,,,,123.98249480736459,132.11474294825618,211.8814998985769,104.76954972288833,143.83717454700746
ch13,38400,857.9090248917546,-1.169634225718197,-0.6225184995421301,-9045.966569243023,14681.693338347646,0.28,2.58,7.360e+05,2.414e+02,2.268e+00,1.173e+00,,,,97.94201506542282,163.30525459317064,201.05111090251992,89.5523523514953,113.93367111183562
ch14,38400,767.1985436305774,-0.9908076141975333,-0.3971867697485272,-7554.479509910623,12242.920005346177,0.2833333333333333,3.763333333333333,5.886e+05,1.914e+02,2.834e+00,1.347e+00,,,,111.31810246320435,153.30030049876424,207.463638263169,98.09736737458472,128.83894682986448
ch15,38400,757.3374571415172,-0.6363956322908333,-0.23871900919241107,-7515.190213911791,13952.339930780709,0.2966666666666667,3.9066666666666667,5.736e+05,1.866e+02,2.573e+00,1.386e+00,,,,105.31832375454101,175.1719450183097,193.69717708399256,103.32912903989416,114.73386319844727
ch16,38400,826.2934735347394,-0.20415454043858725,2.166239876107214,-7777.975889805023,11885.706300618333,0.36666666666666664,9.373333333333333,6.828e+05,2.174e+02,6.550e+00,2.603e+00,,,,155.021351170349,121.82946714826531,218.69513387750217,135.04871556477397,172.62945064213957
ch17,38400,806.3693037233569,-0.22719348318242644,2.2821170988394366,-7469.950320201,11713.438824615181,0.39,10.716666666666667,6.502e+05,2.048e+02,7.729e+00,3.044e+00,,,,168.17406981519693,127.71217579409212,216.95009292553132,150.61511154568566,182.75441923013744
ch18,38400,685.8154296932796,0.22872925178861314,1.7481370896566968,-6842.855945105241,10930.319899741315,0.4266666666666667,14.876666666666667,4.703e+05,1.442e+02,8.311e+00,3.075e+00,,,,180.74803750232778,138.3494322841758,215.86935069622322,165.7953668661203,192.31068916803815
ch19,38400,555.599626900224,0.9564088611375717,0.7969138700704494,-4029.05313005489,8987.57264696657,0.34,17.64666666666667,3.087e+05,9.098e+01,8.401e+00,2.502e+00,,,,198.2470743925512,165.41188115049025,206.51495781008433,189.86521076210383,202.8539334187009
ch20,38400,788.0278891980538,-0.6061294194786782,1.0658583572449518,-8009.78460460931,10500.777079971258,0.38333333333333336,10.32,6.210e+05,1.962e+02,6.856e+00,2.931e+00,,,,141.94095062250312,130.78634692688203,213.15519462289157,123.88714523381516,159.09274106480314
ch21,38400,543.6336780511404,0.0685118361272033,0.056335237913737346,-6045.2682782401625,8367.420447801225,0.4033333333333333,15.9,2.955e+05,8.947e+01,6.288e+00,2.057e+00,,,,187.87469145477291,166.53765974887386,211.97089912907583,178.66479632752913,194.37021289308765
ch22,38400,552.5306563495386,0.7043165493081477,0.6852850571719556,-5711.87454754845,9061.205775505116,0.34,14.153333333333334,3.053e+05,9.380e+01,5.623e+00,1.767e+00,,,,194.07269734237533,179.80751504313545,204.1993469050064,188.6805369864861,196.59348329039662
ch23,38400,710.4614087218416,1.6472754946696602,2.7906017106607046,-7211.384970959884,16039.286141724937,0.33666666666666667,11.686666666666667,5.048e+05,1.578e+02,7.206e+00,2.401e+00,,,,192.4350500941886,187.34962409007616,190.71734318628947,190.78831845751483,191.2050922521252
ch24,38400,648.9402631255647,-0.8435488157703089,-0.2550687364857976,-7969.113211091584,8836.425115104286,0.38666666666666666,11.393333333333333,4.211e+05,1.323e+02,5.009e+00,2.256e+00,,,,145.983022589252,148.20415912151012,213.63553329180743,131.74931498263743,160.26846208501686
ch25,38400,622.0400646158156,-0.9766679562644037,-0.8181428011083594,-7913.2690545972455,7913.313966709625,0.4166666666666667,13.526666666666667,3.869e+05,1.200e+02,5.818e+00,2.345e+00,,,,162.36839304583847,155.69646619418313,214.440983418061,150.16803734092835,173.60294532511884
ch26,38400,652.8796918301268,-0.5941545678115749,-0.9824846625770182,-7910.148842886132,9719.281778061753,0.4066666666666667,14.57,4.263e+05,1.311e+02,7.251e+00,2.793e+00,,,,172.1838244568407,166.79382856579025,208.17841640037452,163.6959070707395,179.2450791727973
ch27,38400,678.9847888802884,-0.48051881134942676,-0.1260569137625926,-7694.048994807977,12308.1908993175,0.33666666666666667,10.226666666666667,4.610e+05,1.457e+02,4.723e+00,2.330e+00,,,,132.69120154153225,160.09518042512858,204.82385689097643,123.02729211504877,144.57277543518663
ch28,38400,588.3777668776012,0.043207483762195124,-0.21677879668819158,-6746.743119252326,12119.24605894195,0.38666666666666666,13.75,3.462e+05,1.073e+02,5.096e+00,2.262e+00,,,,165.81325534263516,179.7406103201534,203.99793037585957,160.93021616314138,170.50983352696275
ch29,38400,578.7058639556099,0.8825095734377237,1.4613191748207122,-6711.974213197397,14056.756267581546,0.3933333333333333,14.256666666666666,3.349e+05,1.035e+02,5.076e+00,2.331e+00,,,,168.78503064708383,190.4326121081701,194.43254472232806,168.0445587000544,169.22340430955182
ch30,38400,669.3657394541937,0.040025858167536225,0.44506039197282643,-5923.540239681368,13826.6824392238,0.3233333333333333,9.643333333333333,4.481e+05,1.421e+02,4.101e+00,2.209e+00,,,,124.54437825949073,172.47698939640318,195.6000084008817,120.59999705550126,132.53001275121886
ch31,38400,582.087611703655,0.29521468544415597,0.18531903042281597,-6445.427410976922,12525.256183948204,0.37,14.89,3.388e+05,1.046e+02,4.976e+00,2.521e+00,,,,143.65414284597225,176.67683522199405,198.82430734887876,139.6145426484934,149.63185138562702
ch32,38400,1022.129693657226,-0.15517012658016333,2.8626666631942306,-14553.129234658545,18351.293746660638,0.2966666666666667,7.683333333333334,1.045e+06,3.365e+02,7.576e+00,2.546e+00,,,,129.39594161974668,51.522203486314766,200.29638725857305,102.10860802879934,153.39392145165306
ch33,38400,1181.037170488328,-0.6643310100456552,1.1588509959889828,-15220.628747368239,12647.778200034258,0.2833333333333333,3.6,1.395e+06,4.560e+02,5.301e+00,2.162e+00,,,,144.68962507912744,51.09462135790868,200.63707828377562,120.31338227308045,166.07234159560332
ch34,38400,1317.562291269487,-0.7262131531873434,1.0006013164246537,-15500.09871400616,14027.233786704859,0.28,3.723333333333333,1.736e+06,5.673e+02,6.748e+00,2.720e+00,,,,155.69866259233453,37.879385984039125,202.53654208031634,131.28956674431058,176.01931384595662
