,#uniqueValues,std,mean,skew,min,max,f50,f95,energy,E10,E1020,E2030,EcHPI,E260300,E300340,dist_nas,dist_lpa,dist_rpa,dist_mrk4,dist_mrk5
ch0,38400,1282.1693295678613,-9.884189992245302,0.22675183148074274,-4981.687710960499,6647.610203437397,0.26,50.03666666666667,1.644e+06,3.540e+02,6.359e+00,2.859e+00,,,,46.35472045439602,146.19068628964422,176.19637661984274,43.648008590770324,72.03748249564289
ch1,38400,1284.9338207745895,-8.371569281972679,0.15041586601201332,-4710.586060845678,6289.836136095285,0.28,50.03666666666667,1.651e+06,3.479e+02,6.330e+00,2.354e+00,,,,60.44279792124655,134.42298780458785,185.9872864959147,44.29712777264041,89.59698578505072
ch2,38400,1216.7124273296029,-6.929463936344769,0.09678521605309741,-4418.814674323168,5719.202515425684,0.28,50.03666666666667,1.480e+06,3.145e+02,6.580e+00,2.037e+00,,,,76.18689323925642,122.01016790124262,192.89627222200815,52.85127334583953,105.9892472331311
ch3,38400,849.7054966211825,-7.178619351312151,0.30009888436344595,-3803.659336714736,4775.375655083977,0.21666666666666667,50.02333333333333,7.220e+05,1.715e+02,4.328e+00,2.336e+00,,,,50.58403276199982,163.5001810567334,170.45980473208627,61.9490216316722,63.511520286532374
ch4,38400,1052.0310224943223,-6.26402916865725,0.1511834578257957,-3996.862165984749,5175.256551696313,0.26,50.03666666666667,1.107e+06,2.318e+02,5.432e+00,2.033e+00,,,,68.3033287225673,141.16857038418632,189.26758053553584,55.873132626471715,93.90651202136476
ch5,38400,669.9789281692766,-3.677216080239989,0.1804773004014739,-2745.618671191989,3503.6415398116405,0.22333333333333333,50.03,4.489e+05,1.001e+02,2.753e+00,1.407e+00,,,,70.21668636812528,158.62975525319706,184.3293993406332,69.77687237246221,87.11771683122075
ch6,38400,873.6204352558002,-3.54900116401852,0.0669201091923782,-3637.420845291596,3761.5418381214213,0.25,50.03666666666667,7.632e+05,1.620e+02,5.902e+00,1.932e+00,,,,93.69494275296412,137.9856210005408,198.15429098520934,78.48312313889392,116.39446644906948
ch7,38400,857.1342652510189,-3.204648043576257,0.03116936361477087,-3926.4568124293114,3314.492901275508,0.24,50.03,7.347e+05,1.606e+02,7.264e+00,2.472e+00,,,,108.5498122874384,129.32973143515193,202.51169927392436,90.12482960956343,131.14970456387115
ch8,38400,818.1318631636032,-2.9875167457059257,0.003521718279649458,-3800.9289627538174,2927.510197662953,0.23333333333333334,50.02333333333333,6.693e+05,1.511e+02,8.247e+00,3.005e+00,,,,123.17196969249387,122.03842703370682,203.90818645956708,103.6390787945496,144.41070639417853
ch9,38400,410.514669865003,-0.8505755510988964,0.08193103188711047,-1795.501490507288,1843.2679003680585,0.19,49.98,1.685e+05,4.899e+01,1.619e+00,9.831e-01,,,,80.04748378982094,171.92838703182838,176.37115851655827,87.79673041742161,86.21675950288493
ch10,38400,423.2671251739162,-0.7213176931441768,0.08764190427975539,-1831.9611492725526,1986.263902891469,0.21666666666666667,50.02,1.792e+05,4.329e+01,1.563e+00,8.892e-01,,,,85.8859841059555,161.77219900825415,187.0041574130518,84.8406570050763,99.25936695051524
ch11,38400,558.0999442010008,-1.1472921059648962,0.0748178622707543,-2046.2078027950652,2332.7154415671484,0.22333333333333333,50.03,3.115e+05,6.868e+01,3.004e+00,1.292e+00,,,,97.67356832600386,151.2735089772372,195.23003209722,89.06555469622477,114.94782410670187
ch12,38400,630.0846724782695,-1.7127472267517487,0.03952161462517961,-2654.180453148345,2309.778045982109,0.26,50.02333333333333,3.970e+05,8.713e+01,5.599e+00,2.370e+00,,,,127.67434543117788,134.94718307258464,202.27539704030926,112.49326720952702,145.18127358600933
ch13,38400,280.37196096548166,1.2538513209666777,0.03698520028810063,-1186.6083736597623,1145.7762113293848,0.23,50.01,7.861e+04,2.027e+01,1.636e+00,9.747e-01,,,,105.7698654451559,161.3720548164012,191.57675154435003,102.02934014282224,117.45052059388064
ch14,38400,345.9393872586166,0.8519944475317561,0.06048837237631368,-1524.4937223522413,1530.8354807480514,0.25,50.016666666666666,1.197e+05,2.800e+01,2.793e+00,1.481e+00,,,,117.44194461345462,152.79097354168533,196.47723161329873,109.04117790530903,131.06993525401032
ch15,38400,312.8157294430041,3.528773507334078,0.11703654195125598,-1214.7701627937054,1587.2474376427078,0.25666666666666665,50.016666666666666,9.785e+04,2.454e+01,1.803e+00,8.944e-01,,,,114.09273779850517,172.44730044043132,184.66521938831286,115.64619281024778,119.1336066777692
ch16,38400,736.7605863829111,-2.784373081569479,0.014180104153610719,-3022.4816649401064,2647.300059283553,0.2833333333333333,50.03333333333333,5.428e+05,1.146e+02,6.577e+00,2.619e+00,,,,154.42425791239089,120.1666341260244,203.74186604462565,136.65981475194246,170.54112498815198
ch17,38400,506.54457556126624,-0.8802048611785784,-0.00921055030715534,-2095.947855088646,1739.5924597647077,0.33,50.02333333333333,2.566e+05,5.516e+01,4.579e+00,2.071e+00,,,,170.3629456677437,127.50430679288807,204.84279552281401,154.33292399659186,183.6524600049002
ch18,38400,320.9031066185959,2.0044558979881693,-0.022910281761869655,-1425.356012078141,1732.058104991369,0.62,47.056666666666665,1.030e+05,2.470e+01,4.469e+00,1.851e+00,,,,183.29448356486947,136.74800470843542,203.20899134358407,169.49039424570654,193.47498836509703
ch19,38400,883.2253295737552,9.154423342543431,0.06223902992216933,-4383.998379718599,6599.346874581793,0.23666666666666666,50.026666666666664,7.801e+05,1.774e+02,1.136e+01,2.523e+00,,,,200.93494033124304,157.83429542269909,192.77215439703917,192.63402086631308,204.2718482108303
ch20,38400,1204.2428991157215,12.129565718138906,-0.006774259899442994,-6193.9103059851095,7827.046495313393,0.23333333333333334,50.03666666666667,1.450e+06,3.152e+02,1.428e+01,2.784e+00,,,,204.99973613825074,168.14828017586632,184.12684529348797,199.84734656968863,204.7336595825312
ch21,38400,667.0168145319924,-1.856222590493179,0.044223726294160964,-2558.3406427591744,2482.5638088092296,0.2966666666666667,50.03333333333333,4.449e+05,9.280e+01,5.388e+00,2.402e+00,,,,145.02517858752665,132.21576426093856,201.74301308270972,129.99555108157955,160.05069504940758
ch22,38400,484.11638731315,0.035908554777568234,0.03815171685812518,-1834.029479746394,1888.286190624572,0.43333333333333335,50.03,2.344e+05,4.818e+01,4.670e+00,2.196e+00,,,,162.8811967864356,137.9996291133222,202.14797714348538,149.41592262662317,174.7574726741429
ch23,38400,534.6567725254455,6.3123103158441305,0.15651200530238124,-2349.5837344424585,4419.250430922058,0.26,50.016666666666666,2.859e+05,6.779e+01,7.378e+00,1.935e+00,,,,189.12303893590044,158.95016741357787,195.86197858282935,180.8959613893388,193.69994080671438
ch24,38400,834.8762157927199,9.136219356916781,0.047718541642213175,-3995.5562361805523,5888.059188416087,0.23333333333333334,50.03,6.970e+05,1.567e+02,9.440e+00,2.022e+00,,,,195.2469535285542,169.73093274264795,187.58585581551728,190.35372178383295,195.85118453116723
ch25,38400,407.3102510229874,0.6210022225299587,0.07821914144566613,-1587.4316836324078,1660.1982500453273,0.8666666666666667,50.03,1.659e+05,3.291e+01,3.651e+00,1.892e+00,,,,148.41670891972,146.28499577902272,198.59899794536705,137.56939791440328,159.62865175308565
ch26,38400,282.03894528626955,2.1115772710534992,0.07369527102021767,-1195.7877322367917,1213.6405022034369,8.103333333333333,50.016666666666666,7.955e+04,1.459e+01,4.443e+00,1.876e+00,,,,164.97209824712638,153.03738822153704,198.5804938295574,155.5602744266662,173.17856337552567
ch27,38400,300.412990643312,4.165938166239228,0.2651271424453146,-1208.1099471302105,2461.5403622329454,0.92,42.50333333333333,9.025e+04,2.100e+01,5.136e+00,1.642e+00,,,,176.69892351101007,162.23626140306158,194.7766573799689,169.76975763934792,181.34263559473425
ch28,38400,256.1931348195373,2.6729129169470323,0.061544757385816065,-1211.6308620811576,1027.5404958213753,0.5766666666666667,46.17666666666667,6.563e+04,1.589e+01,2.591e+00,1.310e+00,,,,139.07198668437536,157.92865741377992,193.96915195477237,132.46865250190342,147.7766204689072
ch29,38400,239.37389537574995,3.1146388019303255,0.11851016551826232,-902.9623439040198,1172.9610050205893,4.073333333333333,41.403333333333336,5.730e+04,1.232e+01,3.656e+00,1.478e+00,,,,157.3215640818357,161.87020188597296,193.58463431615385,151.23376153062233,163.28786925329499
ch30,38400,310.2490707767926,4.2973895630564,0.23221277984903418,-1040.872716343439,2093.7454601876966,0.2633333333333333,50.00666666666667,9.625e+04,2.403e+01,3.803e+00,1.182e+00,,,,169.6209263477243,171.6708747754368,188.70119011177877,166.29133601961144,171.51451385119324
ch31,38400,422.69841292248515,5.16305742838116,0.044638477389014816,-1829.862454232773,2157.0506943519513,0.25,50.02,1.787e+05,4.201e+01,3.343e+00,9.889e-01,,,,173.8328712310021,181.96511986397422,179.59513573187158,174.28549541245576,171.28993972474507
ch32,38400,382.91017697095236,4.814419721634006,0.04431927968876675,-1759.7966484510318,2042.128895001939,0.23333333333333334,50.016666666666666,1.466e+05,3.617e+01,2.446e+00,9.733e-01,,,,134.74154510027427,169.66533184794534,186.25411497529586,133.45676863755776,138.9688573541248
ch33,38400,332.7637629561963,4.753983991060331,0.11825890946265445,-1346.8471670698607,1839.5892432971084,0.24,50.016666666666666,1.107e+05,2.839e+01,2.842e+00,9.614e-01,,,,151.4429338591613,170.8311022702079,186.4538197903772,149.38283923498923,154.12831765450403
ch34,38400,833.7404151610232,-2.6753158219820556,-0.34872094781109375,-6742.514142210488,3549.7317388698893,0.26666666666666666,50.016666666666666,6.951e+05,1.801e+02,2.454e+00,9.963e-01,,,,124.42882935375653,77.02461745640788,191.42890227661283,99.10360114912099,149.55798280030345
ch35,38400,796.345599012476,-2.345638958918862,-0.40557528443245466,-6696.988088083972,3690.9990966631594,0.27,50.016666666666666,6.342e+05,1.656e+02,2.792e+00,1.092e+00,,,,136.23427075412224,63.885911341055625,193.8991558152767,109.93000739632897,160.64316517577612
ch36,38400,714.5749591075693,-3.0074744427840985,-0.4611944414097034,-6089.870024250062,3429.4610658700135,0.29,50.016666666666666,5.106e+05,1.319e+02,3.024e+00,1.130e+00,,,,150.0576183390919,53.38479279707091,195.23005772569576,124.00564879021023,172.82921694599267
ch37,38400,1033.1555264517574,-4.318433734120799,-0.10747914166393838,-6443.445426300382,3713.04678515192,0.25666666666666665,50.016666666666666,1.067e+06,2.951e+02,3.231e+00,1.258e+00,,,,109.17275760785424,76.70830455025269,189.22879122965875,81.39982858994796,136.6529868470749
ch38,38400,825.2655397627327,-3.3514662899470333,-0.2130984356348276,-6112.628010113049,3875.3369191643565,0.25666666666666665,50.013333333333335,6.811e+05,1.985e+02,2.999e+00,1.189e+00,,,,123.73787060830658,63.34428756859938,192.6084821829269,95.51311628070751,149.99425028921843
ch39,38400,638.2986333864839,-3.302916758981651,-0.4512484744449562,-5564.972683681189,3551.9203360745105,0.2633333333333333,50.00666666666667,4.074e+05,1.202e+02,3.114e+00,1.205e+00,,,,137.31295634172108,52.438971479759005,193.6242523030469,109.75076248145709,161.70287517096529
ch40,38400,535.5202328411069,-3.7836470911413653,-0.6143328421906702,-4875.347088047282,2937.5458581910243,0.27666666666666667,50.00666666666667,2.868e+05,8.221e+01,3.260e+00,1.213e+00,,,,150.9844286004091,45.991263664813516,192.71154369744988,124.90420108940822,172.8731009188314
ch41,38400,1039.5421348649857,-5.233806734624024,-0.051525166926380574,-4174.762788779527,3931.0540542653357,0.2633333333333333,50.016666666666666,1.081e+06,2.936e+02,3.216e+00,1.170e+00,,,,99.615639972955,84.92769207159974,191.6385939108692,70.17684208203704,128.95853902463307
ch42,38400,435.26039687270173,-3.320279365281957,-0.4468742349489961,-3758.4638243054565,2444.4032957680906,0.3,36.25666666666667,1.895e+05,5.455e+01,3.523e+00,1.313e+00,,,,143.13255043240667,55.416046575903714,194.28428770264202,116.49960425822248,165.96558256057065
ch43,38400,1044.4471459177578,-5.71024263761893,0.02419886755935931,-4148.749709740649,4683.830143265495,0.29,50.03,1.091e+06,2.552e+02,4.945e+00,1.526e+00,,,,94.36045513480987,97.2486122047817,195.1567278676238,65.35215395338925,124.30083764997222
ch44,38400,593.0047219060882,-3.9134631539381597,-0.05108179374888465,-3027.847943861892,2272.271915265617,0.33,50.016666666666666,3.517e+05,8.528e+01,5.041e+00,1.757e+00,,,,125.4618214814183,75.99850208265643,198.9171096703294,97.48899078706567,151.30797000459316
ch45,38400,1089.6872278442092,-5.812005386639138,0.060578458737696746,-4076.3652250083737,4956.411215130671,0.2833333333333333,50.03666666666667,1.187e+06,2.538e+02,7.134e+00,2.044e+00,,,,92.99108605214467,110.02265653868255,198.1507269755134,66.69527657100572,122.02175360365489
ch46,38400,921.2140200304206,-4.862268273825467,0.023153701282235484,-3929.046234651446,3906.613102791096,0.29,50.03333333333333,8.486e+05,1.833e+02,7.628e+00,2.306e+00,,,,109.78448187214974,99.43693723160513,201.56058142867218,82.85984610874594,137.15578212995342
ch47,38400,744.6107231040993,-3.737002993631175,-0.0393862357540706,-3546.8242724403262,2629.7360840864276,0.27666666666666667,50.02333333333333,5.544e+05,1.267e+02,7.533e+00,2.465e+00,,,,125.20792322189965,91.9149904532549,202.94885229285705,98.96951700025139,150.36949083672778
ch48,38400,643.1810937667517,-3.260977248674438,-0.07706003223649327,-3109.410662949255,2432.2571978430965,0.2633333333333333,50.016666666666666,4.137e+05,9.881e+01,7.453e+00,2.516e+00,,,,140.69906884571296,88.03781400442858,202.8615240685113,115.97539120652849,163.10414325959633
ch49,38400,799.2893405530839,-3.3461023738804845,-0.03889101202169884,-3775.6279972356397,2824.526443954007,0.23333333333333334,50.02,6.389e+05,1.485e+02,8.810e+00,3.008e+00,,,,131.5001656221783,104.92680950941872,204.7237411249496,108.43485177841137,154.04255441052754
ch50,38400,352.54676335825866,-0.9125194091855292,-0.6713182047902253,-2934.4899039042807,1767.4007251834619,0.30333333333333334,19.7,1.243e+05,3.755e+01,1.830e+00,6.951e-01,,,,190.31598422730258,65.37360656674599,195.1813500582038,168.51120687606803,206.17827403246892
ch51,38400,389.7094199081575,0.1791975721199024,-0.14748830586021267,-1930.7912395273395,1801.2463453748978,0.28,50.016666666666666,1.519e+05,3.761e+01,1.560e+00,6.234e-01,,,,201.82858970799853,78.57026293994407,193.3831787831774,182.01493652310444,215.07331019076463
ch52,38400,475.04426319128595,0.9037981212796343,-0.01352491004641737,-1870.999881973785,1741.5173914362665,0.2633333333333333,50.03666666666667,2.257e+05,4.741e+01,1.928e+00,7.055e-01,,,,212.10628784924265,93.18771256338154,190.67944441629828,194.46755411246716,222.6245772749949
ch53,38400,351.22204462251494,-2.619110767291532,-0.5149015773542172,-2908.310934873603,1672.5015140515277,0.27,26.373333333333335,1.234e+05,3.606e+01,2.409e+00,8.900e-01,,,,181.7160437288039,63.45516409625319,194.34475391465458,159.40499363732508,198.28011514946957
ch54,38400,360.3447397025637,-1.8854947286960253,-0.10584983334809459,-1851.919800647584,1554.1251906086432,0.23,50.016666666666666,1.298e+05,3.442e+01,1.992e+00,7.438e-01,,,,194.023908574767,77.37521132192373,192.6318861849468,173.9343394457136,207.74869404846123
ch55,38400,388.3533056330845,-1.1770240346383471,0.03735233644635229,-1499.3768899825675,1586.716647081424,0.23,50.02,1.508e+05,3.482e+01,2.272e+00,8.315e-01,,,,204.48895182384146,91.83041579965112,189.23660610612328,186.79047612268673,215.2769562651442
ch56,38400,334.51614429341083,-2.937454558698376,-0.44378714473197395,-2622.670810944086,1339.8112061375416,0.2633333333333333,26.09,1.119e+05,3.177e+01,2.984e+00,1.025e+00,,,,175.91725777509768,70.3025095495864,196.0751324247977,153.5531740495969,192.9115935277287
